Date,Description,Misc. without GST,Subcontract,Wages,New Home,Insurance,Taxes and Super,Accounting Fees,Transfers,Misc. with GST
01/04/2023,Account Fee,10.0,,,,,,,,
02/04/2023,Transfer to xx7192 CommBank app SmartAccess,5000.0,,,,,,,,
03/04/2023,Transfer to xx7192 CommBank app SmartAccess,10000.0,,,,,,,,
17/04/2023,Optus,,,,,,,,,79.0
01/05/2023,Account Fee,10.0,,,,,,,,
12/05/2023,Optus,,,,,,,,,79.0
13/05/2023,Transfer to xx9950 CommBank app QiQiong,300.0,,,,,,,,
14/05/2023,Transfer to xx9950 CommBank app Qi Qiong,,,50.0,,,,,,
,Transfer to xx9950 CommBank app Qi Qiong,,,50.0,,,,,,
,Transfer to xx9950 CommBank app Qi Qiong,,,50.0,,,,,,
,Transfer to xx9950 CommBank app Qi Qiong,,,7.0,,,,,,
,Transfer to xx9950 CommBank app Qi Qiong,,,20.0,,,,,,
,Transfer to xx9950 CommBank app Qi Qiong,,,50.0,,,,,,
,Transfer to xx9950 CommBank app Qi Qiong,,,30.0,,,,,,
16/05/2023,Transfer to xx9950 CommBank app Qi Qiong,,,40.0,,,,,,
01/06/2023,Account Fee,10.0,,,,,,,,
04/06/2023,Transfer to xx9950 CommBank app Qi Qiong,,,30.0,,,,,,
12/06/2023,Optus,,,,,,,,,79.0
