Date,Description,Misc.,Home Loan,Transfers,Withdrawals,Insurance
02/04/2023,Transfer to xx9950 CommBank app Qi Qiong,4000.0,,,,
03/04/2023,Transfer To JINGHUI ZHANG CommBank App Accommodation Fee,2096.0,,,,
,Transfer to xx9950 CommBank app Qi Qiong,8000.0,,,,
12/04/2023,DAHU PEKING DUCJ RES MELBOURNE AU,282.8,,,,
29/04/2023,Transfer To Focus CommBank App Visa,158.0,,,,
13/05/2023,Transfer to xx9950 CommBank app Qi Qiong,200.0,,,,
14/05/2023,Transfer to xx9950 CommBank app Qi Qiong,150.0,,,,
,Transfer to xx9950 CommBank app Qi Qiong,20.0,,,,
,Transfer to xx9950 CommBank app Qi Qiong,20.0,,,,
,Transfer to xx9950 CommBank app Qi Qiong,100.0,,,,
16/05/2023,Transfer to xx9950 CommBank app Qi Qiong,50.0,,,,
01/06/2023,Account Fee,4.0,,,,
04/06/2023,Transfer to xx9950 CommBank app Qi Qiong,50.0,,,,
